Category,ViewPath,Substitutions,en-US*,en-US,"ref=""0""","ref=""1""","ref=""2""","ref=""3""","ref=""4""","ref=""5""","ref=""6""","ref=""7""","ref=""8""","ref=""9""","ref=""10""","ref=""11""","ref=""12""","ref=""13""","ref=""14""","ref=""15"""
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\FCCA_CCD_AGG12345 [FC19]\Network 1\Network title,,CAN COT LIEU AGG1,CAN COT LIEU AGG1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\FCCA_IND_AGG12345 [FC21]\Network 1\Network title,,CAN COT LIEU AGG1,CAN COT LIEU AGG1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\FCCA_CCD_AGG12345 [FC19]\Network 2\Network title,,CAN COT LIEU AGG2,CAN COT LIEU AGG2,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\FCCA_IND_AGG12345 [FC21]\Network 2\Network title,,CAN COT LIEU AGG2,CAN COT LIEU AGG2,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\FCCA_CCD_AGG12345 [FC19]\Network 3\Network title,,CAN COT LIEU AGG3,CAN COT LIEU AGG3,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\FCCA_IND_AGG12345 [FC21]\Network 3\Network title,,CAN COT LIEU AGG3,CAN COT LIEU AGG3,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\FCCA_CCD_AGG12345 [FC19]\Network 4\Network title,,CAN COT LIEU AGG4,CAN COT LIEU AGG4,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\FCCA_IND_AGG12345 [FC21]\Network 4\Network title,,CAN COT LIEU AGG4,CAN COT LIEU AGG4,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\Network 10\Network title,,CAN LOGIC,CAN LOGIC,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\FCCA_CCD_SB1 [FC18]\Network 1\Network title,,CAN PHU GIA 1,CAN PHU GIA 1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#8_RD_REPORT [DB8]\PVM_AGG1,,Cân tay Cốt liệu 1,Cân tay Cốt liệu 1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#8_RD_REPORT [DB8]\PVM_AGG2,,Cân tay Cốt liệu 2,Cân tay Cốt liệu 2,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#8_RD_REPORT [DB8]\PVM_AGG3,,Cân tay Cốt liệu 3,Cân tay Cốt liệu 3,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#8_RD_REPORT [DB8]\PVM_AGG4,,Cân tay Cốt liệu 4,Cân tay Cốt liệu 4,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#8_RD_REPORT [DB8]\PVM_AGG5,,Cân tay Cốt liệu 5,Cân tay Cốt liệu 5,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#8_RD_REPORT [DB8]\PVM_FD1,,Cân tay F/D 1,Cân tay F/D 1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#8_RD_REPORT [DB8]\PVM_AP1,,Cân tay Nhựa 1,Cân tay Nhựa 1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#8_RD_REPORT [DB8]\PVM_SB1,,Cân tay SBS 1,Cân tay SBS 1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\Network 9\Network title,,CAN THO TINH,CAN THO TINH,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\FCCA_CCD_FD1 [FC12]\Network 1\Network title,,CAN XI MANG 1,CAN XI MANG 1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\Main_P1 [OB1]\Network 19\Network title,,CHẾ ĐỘ XẢ LIỆU,CHẾ ĐỘ XẢ LIỆU,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\Network 4\Network title,,CHIA PV,CHIA PV,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\Block comment,,"Chú ý:
W_DU: nhập khối lượng giớ hạn dưới để tính SS_DUOI sai số dưới, ví dụ SV_IN cài là 1000kg, giới hạn dưới cài là W_DU=55kg, vì KL_BU=0.0 nên> SS_DUOI=1000-55=945kg
W_RTD: cài đặt khối lượng rơi tự do, từ đó tính điểm cắt Rơi tự do, ví dụ W_RTD=95kg, khi đó điểm cắt Rơi tự do KL_RTD=1000-95=905kg
Thực tế khi đó: cân sẽ được cân thô đến điểm cắt RTD là 905kg thì nó sẽ bắt đầu chuyển sang Cân Tinh,","Chú ý:
W_DU: nhập khối lượng giớ hạn dưới để tính SS_DUOI sai số dưới, ví dụ SV_IN cài là 1000kg, giới hạn dưới cài là W_DU=55kg, vì KL_BU=0.0 nên> SS_DUOI=1000-55=945kg
W_RTD: cài đặt khối lượng rơi tự do, từ đó tính điểm cắt Rơi tự do, ví dụ W_RTD=95kg, khi đó điểm cắt Rơi tự do KL_RTD=1000-95=905kg
Thực tế khi đó: cân sẽ được cân thô đến điểm cắt RTD là 905kg thì nó sẽ bắt đầu chuyển sang Cân Tinh,",,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\2.MANUAL_CONTROL [FB2]\Block comment,,"Chức năng của FB: xác định phương thức tác động khi nhấn nút NN1, NN2, NN3 theo 2 cách
Cách 1: MODE = 0, thực hiện như một Toggle, mỗi lần nhấn sẽ đổi trạng thái OUT, từ OFF sang ON và ngược lại.
NN là nút nhấn trên HMI/SCADA
OUT là ngõ ra cần được SET hoặc RESET
ST chính là OUT (nó như là phản hồi để biết OUT đang được SET hay RESET
RS là tín hiệu để reset ngõ ra
Nó dùng M là một biến Static để lưu số lần nhấn nút (ban đầu nếu chưa có ngõ ra OUT, thì M là 0, nhưng khi đã có OUT thì M  là 1), từ đây nếu NN nhấn mà chưa có OUT thì OUT11 sẽ được SET, còn nếu NN được nhấn mà có OUT11 thì sẽ Reset OUT11 đi)
Cách 2: MODE=1, nó thực hiện như một nút nhấn mình thường dạng Momentory, nghĩa là Nhấn thì đầu ra sẽ có, còn nhả ra thì mất OUT.","Chức năng của FB: xác định phương thức tác động khi nhấn nút NN1, NN2, NN3 theo 2 cách
Cách 1: MODE = 0, thực hiện như một Toggle, mỗi lần nhấn sẽ đổi trạng thái OUT, từ OFF sang ON và ngược lại.
NN là nút nhấn trên HMI/SCADA
OUT là ngõ ra cần được SET hoặc RESET
ST chính là OUT (nó như là phản hồi để biết OUT đang được SET hay RESET
RS là tín hiệu để reset ngõ ra
Nó dùng M là một biến Static để lưu số lần nhấn nút (ban đầu nếu chưa có ngõ ra OUT, thì M là 0, nhưng khi đã có OUT thì M  là 1), từ đây nếu NN nhấn mà chưa có OUT thì OUT11 sẽ được SET, còn nếu NN được nhấn mà có OUT11 thì sẽ Reset OUT11 đi)
Cách 2: MODE=1, nó thực hiện như một nút nhấn mình thường dạng Momentory, nghĩa là Nhấn thì đầu ra sẽ có, còn nhả ra thì mất OUT.",,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_XA CL1,,Công tắc Băng tải xả cốt liệu 1,Công tắc Băng tải xả cốt liệu 1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_XA CL2,,Công tắc Băng tải xả cốt liệu 2,Công tắc Băng tải xả cốt liệu 2,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_XA CL3,,Công tắc Băng tải xả cốt liệu 3,Công tắc Băng tải xả cốt liệu 3,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_XA CL4,,Công tắc Băng tải xả cốt liệu 4,Công tắc Băng tải xả cốt liệu 4,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_XA CL5,,Công tắc Băng tải xả cốt liệu 5,Công tắc Băng tải xả cốt liệu 5,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_MAN/AUTO,,Công tắc chế độ chạy tay/tự động,Công tắc chế độ chạy tay/tự động,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_XA_NOI_TRON,,Công tắc chế độ xả bê tông,Công tắc chế độ xả bê tông,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_XA_LIEU,,Công tắc chế độ xả cân cốt liệu,Công tắc chế độ xả cân cốt liệu,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_NAP_NOI_TRON,,Công tắc nạp liệu nồi trộn,Công tắc nạp liệu nồi trộn,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_PA_AG1,,Công tắc Tạm dừng cân AG1,Công tắc Tạm dừng cân AG1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_PA_AG2,,Công tắc Tạm dừng cân AG2,Công tắc Tạm dừng cân AG2,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_PA_AG3,,Công tắc Tạm dừng cân AG3,Công tắc Tạm dừng cân AG3,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_PA_AG4,,Công tắc Tạm dừng cân AG4,Công tắc Tạm dừng cân AG4,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_PA_AG5,,Công tắc Tạm dừng cân AG5,Công tắc Tạm dừng cân AG5,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_PA_AP1,,Công tắc Tạm dừng cân AP1,Công tắc Tạm dừng cân AP1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_PA_FD1,,Công tắc Tạm dừng cân FD1,Công tắc Tạm dừng cân FD1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_PA_SB1,,Công tắc Tạm dừng cân SBS1,Công tắc Tạm dừng cân SBS1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_XA W_AG1,,Công tắc Van xả cân AG1,Công tắc Van xả cân AG1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_XA W_AP1,,Công tắc Van xả cân AP1,Công tắc Van xả cân AP1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_XA W_FD1,,Công tắc Van xả cân FD1,Công tắc Van xả cân FD1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\SW_XA W_SB1,,Công tắc Van xả cân SB1,Công tắc Van xả cân SB1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\Main_P1 [OB1]\Network 4\Network title,,CONVERT ANALOG IN PUT (0.0/ 0-10V: 1.0/4-20mA: 2.0/0-20mA),CONVERT ANALOG IN PUT (0.0/ 0-10V: 1.0/4-20mA: 2.0/0-20mA),,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\Main_P1 [OB1]\Network 5\Network title,,CONVERT ANALOG IN PUT (0.0/ 0-10V: 1.0/4-20mA: 2.0/0-20mA) - Mode Độc Lập,CONVERT ANALOG IN PUT (0.0/ 0-10V: 1.0/4-20mA: 2.0/0-20mA) - Mode Độc Lập,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\Network 11\Network title,,CUA THO TINH,CUA THO TINH,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\Main_P1 [OB1]\Network 7\Network title,,DATA SIMULATION,DATA SIMULATION,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\FCCA_CCD_AP1 [FC16]\Network 1\Network comment,,"Đầu tiên nó sẽ đợi một khoảng thời gian gọi là Thời gian trễ cân, sau đó nó mới đủ điều kiện để cân","Đầu tiên nó sẽ đợi một khoảng thời gian gọi là Thời gian trễ cân, sau đó nó mới đủ điều kiện để cân",,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\Network 7\Network title,,DELAY BAO DAY,DELAY BAO DAY,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\Network 6\Network title,,DELAY BAO RONG,DELAY BAO RONG,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\Network 8\Network title,,DELAY TINH LUONG ROI THEM,DELAY TINH LUONG ROI THEM,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\T_DLFULL,,Đếm thời gian báo đầy,Đếm thời gian báo đầy,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\T_DLT/T,,Đếm thời gian cho lượng rơi thêm,Đếm thời gian cho lượng rơi thêm,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\KL RTD,,Điểm cắt Rơi tự do,Điểm cắt Rơi tự do,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\Main_P1 [OB1]\Network 3\Network title,,ĐIỀU KHIỂN TAY,ĐIỀU KHIỂN TAY,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\KLT_AG1,,Đọc khối lượng cân AG,Đọc khối lượng cân AG,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\KLT_AP1,,Đọc khối lượng cân AP,Đọc khối lượng cân AP,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\KLT_FD1,,Đọc khối lượng cân FD,Đọc khối lượng cân FD,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\KLT_SB1,,Đọc khối lượng cân SBS,Đọc khối lượng cân SBS,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\NDT_AG,,Đọc nhiệt độ cốt liệu,Đọc nhiệt độ cốt liệu,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\NDT_AP,,Đọc nhiệt độ nhựa,Đọc nhiệt độ nhựa,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\NDT_TS,,Đọc nhiệt độ tan sấy,Đọc nhiệt độ tan sấy,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\NDT_TL,,Đọc nhiệt độ túi lọc bụi,Đọc nhiệt độ túi lọc bụi,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\XUNG_AG1,,Đọc xung AG1,Đọc xung AG1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\XUNG_AP1,,Đọc xung AP1,Đọc xung AP1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\XUNG_FD1,,Đọc xung FD1,Đọc xung FD1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\XUNG_TEMP_AG,,Đọc xung nhiệt độ AGG,Đọc xung nhiệt độ AGG,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\XUNG_TEMP_AP,,Đọc xung nhiệt độ nhựa,Đọc xung nhiệt độ nhựa,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\XUNG_TEMP_TS,,Đọc xung nhiệt độ tan sấy,Đọc xung nhiệt độ tan sấy,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\XUNG_TEMP_TL,,Đọc xung nhiệt độ túi lọc,Đọc xung nhiệt độ túi lọc,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\XUNG_SB1,,Đọc xung SB1,Đọc xung SB1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\Network 6\Network comment,,"EMTY_IN là tín hiệu báo cân đã empty, cân rỗng thì reset FU_OUT, reset chạy Tịnh THO, và bật luôn đầu ra EM_OUT","EMTY_IN là tín hiệu báo cân đã empty, cân rỗng thì reset FU_OUT, reset chạy Tịnh THO, và bật luôn đầu ra EM_OUT",,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\F1_NN_RUN,,F1 Nút nhấn chạy,F1 Nút nhấn chạy,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\F2_SW_PAU,,F2 Công tắc tạm dừng,F2 Công tắc tạm dừng,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\F3_NN_STOP,,F3 Nút nhấn dừng/hủy mẻ,F3 Nút nhấn dừng/hủy mẻ,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#2_WB [DB2]\F4_SW_SIM,,F4 Công tắc chế độ mô phỏng,F4 Công tắc chế độ mô phỏng,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\FD1_KL_RTD,,FD1 khối lượng rơi tự do,FD1 khối lượng rơi tự do,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\FD1_SS_DUOI,,FD1 sai số dưới,FD1 sai số dưới,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\FD1_SS_TREN,,FD1 sai số trên,FD1 sai số trên,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\FD1_TG_OFF_CAN,,FD1 thời gian đóng cân,FD1 thời gian đóng cân,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\FD1_TG_ON_CAN,,FD1 thời gian mở cân,FD1 thời gian mở cân,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#3_WD_SILO [DB3]\FD1_TG_ODC,,FD1 thời gian tính lượng rơi thêm,FD1 thời gian tính lượng rơi thêm,,,,,,,,,,,,,,,,
